Stationsnamn;Stationsnummer;Stationsnät;Mäthöjd (meter över marken)
Göteborg A;71420;SMHIs stationsnät;2.0

Parameternamn;Beskrivning;Enhet
Lufttemperatur;medelvärde 1 dygn, 1 gång/dygn, kl 00;celsius

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1961-01-01 00:00:00;1969-05-31 23:59:59;30.0;57.7000;11.9700
1969-07-01 00:00:00;1972-04-30 23:59:59;40.0;57.7200;12.0200
1972-05-01 00:00:00;1976-10-01 23:59:59;4.0;57.7000;11.9800
1983-04-01 00:00:00;1995-09-30 23:59:59;23.0;57.7084;11.9939
1995-10-01 00:00:00;1998-05-31 23:59:59;5.0;57.7080;11.9938
1999-03-01 00:00:00;2024-05-16 06:20:13;3.038;57.7156;11.9924

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativt dygn;Lufttemperatur;Kvalitet;;Tidsutsnitt:
2024-01-07 00:00:01;2024-01-08 00:00:00;2024-01-07;-10.3;Y;;Data från senaste fyra månaderna
2024-01-08 00:00:01;2024-01-09 00:00:00;2024-01-08;-7.6;Y;;Tidsperiod (fr.o.m.) = 2024-01-07 00:00:01 (UTC)
2024-01-09 00:00:01;2024-01-10 00:00:00;2024-01-09;-2.5;Y;;Tidsperiod (t.o.m.) = 2024-05-16 06:00:00 (UTC)
2024-01-10 00:00:01;2024-01-11 00:00:00;2024-01-10;-2.9;Y;;Medelvärdet är beräknat för = 24 timmar
2024-01-11 00:00:01;2024-01-12 00:00:00;2024-01-11;-2.1;Y;;
2024-01-12 00:00:01;2024-01-13 00:00:00;2024-01-12;-2.9;Y;;Kvalitetskoderna:
2024-01-13 00:00:01;2024-01-14 00:00:00;2024-01-13;2.3;Y;;Grön (G) = Kontrollerade och godkända värden.
2024-01-14 00:00:01;2024-01-15 00:00:00;2024-01-14;0.3;Y;;Gul (Y) = Misstänkta eller aggregerade värden. Grovt kontrollerade arkivdata och okontrollerade realtidsdata (senaste 2 tim).
2024-01-15 00:00:01;2024-01-16 00:00:00;2024-01-15;-5.8;Y;;
2024-01-16 00:00:01;2024-01-17 00:00:00;2024-01-16;-9.5;Y;;Nätinformation:
2024-01-17 00:00:01;2024-01-18 00:00:00;2024-01-17;-0.3;Y;;SMHIs Stationsnät: Data samlas in och lagras i SMHIs databaser. Data kvalitetskontrolleras vilket innebär att felaktiga data korrigeras och att databortfall kompletteras utifrån expertbedömning där det är möjligt. De flesta stationerna övervakas, inspekteras och underhålls löpande av SMHI.
2024-01-18 00:00:01;2024-01-19 00:00:00;2024-01-18;-4.2;Y;;Övriga stationer: Data samlas in och lagras i SMHIs databaser. Datakvaliteten är för SMHI okänd då SMHI varken utför kvalitetskontroll på data eller inspektioner på stationerna.
2024-01-19 00:00:01;2024-01-20 00:00:00;2024-01-19;0.4;Y;;
2024-01-20 00:00:01;2024-01-21 00:00:00;2024-01-20;-2.3;Y;;Möjliga orsaker till saknade data:
2024-01-21 00:00:01;2024-01-22 00:00:00;2024-01-21;1.9;Y;;- stationen eller givaren har varit ur funktion.
2024-01-22 00:00:01;2024-01-23 00:00:00;2024-01-22;5.4;Y;;- stationen har endast levererat värden med kvalitetskod Röd (R). Dessa levereras ej.
2024-01-23 00:00:01;2024-01-24 00:00:00;2024-01-23;5.5;Y
2024-01-24 00:00:01;2024-01-25 00:00:00;2024-01-24;6.4;Y
2024-01-25 00:00:01;2024-01-26 00:00:00;2024-01-25;2.2;Y
2024-01-26 00:00:01;2024-01-27 00:00:00;2024-01-26;3.5;Y
2024-01-27 00:00:01;2024-01-28 00:00:00;2024-01-27;4.9;Y
2024-01-28 00:00:01;2024-01-29 00:00:00;2024-01-28;4.7;Y
2024-01-29 00:00:01;2024-01-30 00:00:00;2024-01-29;4.5;Y
2024-01-30 00:00:01;2024-01-31 00:00:00;2024-01-30;5.2;Y
2024-01-31 00:00:01;2024-02-01 00:00:00;2024-01-31;4.3;Y
2024-02-01 00:00:01;2024-02-02 00:00:00;2024-02-01;4.8;Y
2024-02-02 00:00:01;2024-02-03 00:00:00;2024-02-02;5.7;Y
2024-02-03 00:00:01;2024-02-04 00:00:00;2024-02-03;6.6;Y
2024-02-04 00:00:01;2024-02-05 00:00:00;2024-02-04;5.9;Y
2024-02-05 00:00:01;2024-02-06 00:00:00;2024-02-05;3.7;Y
2024-02-06 00:00:01;2024-02-07 00:00:00;2024-02-06;0.2;Y
2024-02-07 00:00:01;2024-02-08 00:00:00;2024-02-07;-2.1;Y
2024-02-08 00:00:01;2024-02-09 00:00:00;2024-02-08;-1.7;Y
2024-02-09 00:00:01;2024-02-10 00:00:00;2024-02-09;-3.4;Y
2024-02-10 00:00:01;2024-02-11 00:00:00;2024-02-10;-1.6;Y
2024-02-11 00:00:01;2024-02-12 00:00:00;2024-02-11;0.6;Y
2024-02-12 00:00:01;2024-02-13 00:00:00;2024-02-12;-0.2;Y
2024-02-13 00:00:01;2024-02-14 00:00:00;2024-02-13;0.6;Y
2024-02-14 00:00:01;2024-02-15 00:00:00;2024-02-14;3.4;Y
2024-02-15 00:00:01;2024-02-16 00:00:00;2024-02-15;4.2;Y
2024-02-16 00:00:01;2024-02-17 00:00:00;2024-02-16;7.6;Y
2024-02-17 00:00:01;2024-02-18 00:00:00;2024-02-17;3.0;Y
2024-02-18 00:00:01;2024-02-19 00:00:00;2024-02-18;2.3;Y
2024-02-19 00:00:01;2024-02-20 00:00:00;2024-02-19;2.9;Y
2024-02-20 00:00:01;2024-02-21 00:00:00;2024-02-20;4.2;Y
2024-02-21 00:00:01;2024-02-22 00:00:00;2024-02-21;5.0;Y
2024-02-22 00:00:01;2024-02-23 00:00:00;2024-02-22;6.4;Y
2024-02-23 00:00:01;2024-02-24 00:00:00;2024-02-23;6.1;Y
